,A,B,C,D,E,F1,G1,H1,I1,J1,M,N,K1,L,K,I,J,F,G,H,O,P,Q
2016-01-01 00:00:00,-1.3,-8.7,-3.0,-5.5,-4.2,-8.7,-4.5,-5.4,-1.0,-2.5,-11.1,-8.9,-3.9,-5.8,-9.1,-5.6,-42.7,-18.5,-14.5,-18.6,-9.1,-5.6,-42.7
2016-01-01 01:00:00,-1.3,-8.9,-3.2,-5.8,-4.2,-8.9,-4.7,-5.6,-1.0,-2.6,-11.7,-9.2,-4.2,-6.2,-9.2,-5.8,-44.4,-19.2,-15.2,-19.5,-9.2,-5.8,-44.4
2016-01-01 02:00:00,-1.3,-8.8,-3.2,-5.8,-4.2,-8.8,-4.6,-5.5,-1.0,-2.6,-11.6,-9.1,-4.1,-6.1,-9.1,-5.7,-43.8,-18.9,-15.1,-19.4,-9.1,-5.7,-43.8
2016-01-01 03:00:00,-1.3,-8.8,-3.1,-5.8,-4.1,-8.8,-4.6,-5.5,-1.0,-2.6,-11.6,-9.1,-4.1,-6.1,-9.1,-5.7,-43.6,-18.9,-15.1,-19.3,-9.1,-5.7,-43.6
2016-01-01 04:00:00,-1.3,-8.8,-3.1,-5.7,-4.1,-8.8,-4.6,-5.5,-1.0,-2.6,-11.5,-9.1,-4.1,-6.1,-9.0,-5.7,-43.5,-18.9,-15.0,-19.2,-9.0,-5.7,-43.5
2016-01-01 05:00:00,-1.3,-9.1,-3.2,-5.8,-4.2,-8.9,-4.7,-5.6,-1.0,-2.6,-11.7,-9.2,-4.1,-6.1,-9.2,-5.8,-44.3,-19.2,-15.3,-19.5,-9.2,-5.8,-44.3
2016-01-01 06:00:00,-1.4,-9.8,-3.4,-6.2,-4.6,-9.6,-5.1,-5.9,-1.1,-2.8,-12.5,-9.9,-4.4,-6.6,-9.8,-6.3,-47.5,-20.6,-16.3,-20.9,-9.8,-6.3,-47.5
2016-01-01 07:00:00,-1.7,-11.6,-4.0,-7.3,-5.4,-11.3,-6.0,-6.9,-1.3,-3.2,-14.7,-11.7,-5.1,-7.8,-11.4,-7.4,-55.8,-24.3,-19.2,-24.7,-11.4,-7.4,-55.8
2016-01-01 08:00:00,-2.4,-16.5,-5.8,-10.4,-8.0,-16.6,-8.9,-10.2,-1.9,-4.6,-21.5,-16.8,-7.3,-11.8,-16.9,-10.9,-81.8,-35.7,-28.0,-35.9,-16.9,-10.9,-81.8
2016-01-01 09:00:00,-4.7,-31.7,-11.7,-19.8,-15.5,-32.5,-17.7,-20.3,-3.8,-9.0,-42.7,-32.8,-14.1,-24.3,-35.4,-21.7,-167.9,-70.5,-55.4,-71.1,-35.4,-21.7,-167.9
2016-01-01 10:00:00,-8.2,-53.7,-20.2,-33.9,-25.9,-55.3,-29.2,-34.2,-6.4,-15.7,-74.6,-53.5,-24.3,-42.1,-61.8,-36.8,-292.2,-118.7,-96.7,-119.9,-61.8,-36.8,-292.2
2016-01-01 11:00:00,-9.7,-65.2,-24.1,-40.6,-31.8,-68.3,-34.6,-40.7,-7.6,-19.4,-91.3,-62.6,-28.5,-48.9,-74.6,-42.3,-345.8,-143.5,-118.2,-140.1,-74.6,-42.3,-345.8
2016-01-01 12:00:00,-9.3,-64.1,-23.7,-39.0,-30.4,-68.1,-33.3,-39.8,-7.3,-18.6,-86.6,-62.0,-28.3,-46.4,-73.0,-41.1,-326.6,-141.2,-112.5,-136.7,-73.0,-41.1,-326.6
2016-01-01 13:00:00,-8.9,-60.2,-21.9,-37.4,-28.3,-63.1,-31.8,-37.4,-6.8,-17.5,-80.7,-59.3,-26.8,-43.6,-69.7,-38.3,-305.8,-132.3,-105.0,-129.6,-69.7,-38.3,-305.8
2016-01-01 14:00:00,-10.4,-68.9,-25.0,-44.0,-32.3,-72.0,-37.2,-43.2,-8.1,-20.5,-94.7,-69.0,-31.0,-51.3,-80.5,-43.4,-360.7,-152.4,-123.3,-151.4,-80.5,-43.4,-360.7
2016-01-01 15:00:00,-11.6,-78.4,-27.7,-48.0,-35.6,-81.7,-41.0,-48.0,-9.1,-22.3,-104.9,-75.8,-33.8,-56.9,-88.0,-50.9,-392.1,-170.7,-136.3,-166.5,-88.0,-50.9,-392.1
2016-01-01 16:00:00,-11.9,-80.6,-28.2,-50.8,-37.3,-84.5,-43.0,-49.2,-9.4,-23.1,-108.3,-79.2,-34.7,-59.0,-88.2,-54.1,-407.0,-176.7,-140.9,-172.9,-88.2,-54.1,-407.0
2016-01-01 17:00:00,-10.9,-73.2,-25.4,-46.2,-33.8,-76.3,-38.7,-45.3,-8.6,-20.6,-97.0,-72.7,-31.2,-53.1,-80.0,-48.8,-366.0,-160.3,-126.2,-157.0,-80.0,-48.8,-366.0
2016-01-01 18:00:00,-8.6,-59.0,-20.1,-36.9,-27.2,-60.9,-30.9,-37.0,-6.8,-16.3,-77.6,-57.7,-25.1,-42.4,-64.3,-38.5,-288.4,-128.8,-100.8,-125.2,-64.3,-38.5,-288.4
2016-01-01 19:00:00,-5.9,-41.9,-14.4,-25.2,-19.2,-42.2,-21.7,-25.8,-4.7,-11.7,-55.1,-40.7,-18.2,-30.0,-45.2,-26.6,-202.5,-89.7,-71.5,-88.9,-45.2,-26.6,-202.5
2016-01-01 20:00:00,-3.7,-26.4,-9.3,-15.8,-11.6,-25.8,-13.9,-15.7,-2.8,-7.6,-34.4,-25.6,-11.8,-18.9,-28.4,-16.2,-126.9,-55.3,-44.8,-56.3,-28.4,-16.2,-126.9
2016-01-01 21:00:00,-2.5,-17.7,-6.4,-10.9,-7.5,-17.1,-9.3,-10.4,-1.9,-5.3,-23.9,-17.7,-8.0,-12.9,-19.7,-10.8,-86.0,-36.8,-31.0,-38.6,-19.7,-10.8,-86.0
2016-01-01 22:00:00,-1.8,-12.5,-4.3,-7.6,-5.4,-12.1,-6.4,-7.4,-1.3,-3.6,-16.7,-12.4,-5.6,-8.9,-13.5,-7.8,-61.7,-26.0,-21.7,-26.9,-13.5,-7.8,-61.7
2016-01-01 23:00:00,-1.5,-10.3,-3.4,-6.2,-4.6,-10.2,-5.3,-6.2,-1.1,-2.9,-13.5,-9.9,-4.6,-7.2,-11.0,-6.8,-51.2,-21.7,-17.6,-21.7,-11.0,-6.8,-51.2
2016-01-02 00:00:00,-1.4,-9.3,-3.1,-5.8,-4.4,-9.4,-5.0,-5.8,-1.0,-2.7,-12.5,-9.2,-4.4,-6.9,-10.4,-6.4,-47.6,-20.2,-16.3,-20.4,-10.4,-6.4,-47.6
2016-01-02 01:00:00,-1.3,-8.8,-3.0,-5.6,-4.3,-9.0,-4.8,-5.6,-1.0,-2.6,-12.0,-8.8,-4.3,-6.7,-10.2,-6.3,-45.6,-19.4,-15.6,-19.7,-10.2,-6.3,-45.6
2016-01-02 02:00:00,-1.3,-8.7,-3.0,-5.6,-4.3,-9.0,-4.8,-5.5,-1.0,-2.6,-11.9,-8.7,-4.2,-6.6,-10.1,-6.3,-45.3,-19.3,-15.5,-19.6,-10.1,-6.3,-45.3
2016-01-02 03:00:00,-1.3,-8.6,-2.9,-5.5,-4.2,-8.9,-4.7,-5.4,-1.0,-2.6,-11.8,-8.6,-4.2,-6.5,-10.0,-6.2,-44.7,-19.0,-15.3,-19.3,-10.0,-6.2,-44.7
2016-01-02 04:00:00,-1.3,-8.5,-2.9,-5.4,-4.1,-8.8,-4.6,-5.3,-1.0,-2.5,-11.6,-8.5,-4.1,-6.4,-9.8,-6.1,-44.1,-18.7,-15.1,-19.0,-9.8,-6.1,-44.1
2016-01-02 05:00:00,-1.3,-8.6,-2.9,-5.4,-4.1,-8.8,-4.6,-5.3,-1.0,-2.6,-11.6,-8.5,-4.2,-6.5,-9.8,-6.1,-44.3,-18.8,-15.2,-19.1,-9.8,-6.1,-44.3
2016-01-02 06:00:00,-1.3,-8.5,-2.9,-5.4,-4.1,-8.8,-4.6,-5.3,-1.0,-2.5,-11.5,-8.4,-4.1,-6.4,-9.7,-6.0,-43.9,-18.6,-15.0,-18.9,-9.7,-6.0,-43.9
2016-01-02 07:00:00,-1.4,-8.9,-3.1,-5.7,-4.4,-9.2,-4.9,-5.6,-1.0,-2.6,-12.3,-8.9,-4.3,-6.9,-10.3,-6.5,-46.4,-19.6,-16.0,-20.1,-10.3,-6.5,-46.4
2016-01-02 08:00:00,-1.6,-10.5,-3.7,-6.7,-5.4,-10.9,-5.9,-6.8,-1.3,-3.1,-15.1,-10.8,-5.2,-8.4,-12.5,-8.0,-56.1,-23.6,-19.4,-24.4,-12.5,-8.0,-56.1
2016-01-02 09:00:00,-2.3,-14.3,-5.1,-9.2,-7.7,-15.0,-8.2,-9.5,-1.8,-4.3,-21.3,-15.3,-7.2,-11.8,-17.6,-11.4,-78.2,-32.7,-27.3,-34.3,-17.6,-11.4,-78.2
2016-01-02 10:00:00,-3.1,-19.0,-6.8,-12.4,-10.4,-20.1,-11.1,-12.9,-2.4,-5.7,-27.6,-21.0,-9.8,-16.2,-23.8,-14.9,-103.7,-44.2,-35.8,-46.9,-23.8,-14.9,-103.7
2016-01-02 11:00:00,-3.6,-22.4,-7.7,-14.2,-12.2,-23.2,-13.2,-15.0,-2.8,-6.4,-32.3,-24.4,-11.4,-18.7,-27.4,-17.1,-119.5,-51.3,-41.5,-54.6,-27.4,-17.1,-119.5
2016-01-02 12:00:00,-4.3,-25.6,-8.9,-15.9,-14.3,-26.8,-14.9,-17.5,-3.2,-7.8,-36.5,-27.4,-12.6,-21.0,-31.3,-19.7,-132.6,-59.2,-47.5,-61.0,-31.3,-19.7,-132.6
2016-01-02 13:00:00,-4.5,-27.3,-9.4,-17.0,-14.9,-28.6,-15.7,-18.5,-3.4,-8.0,-38.8,-29.4,-13.5,-22.1,-32.8,-20.5,-143.4,-62.8,-50.2,-65.0,-32.8,-20.5,-143.4
2016-01-02 14:00:00,-4.8,-29.4,-10.2,-18.6,-16.3,-30.3,-17.2,-20.2,-3.7,-8.4,-42.5,-32.4,-15.0,-23.7,-35.6,-22.3,-156.4,-67.6,-54.6,-71.1,-35.6,-22.3,-156.4
2016-01-02 15:00:00,-4.7,-29.2,-10.1,-18.6,-15.9,-30.0,-17.1,-20.1,-3.7,-8.2,-41.9,-31.9,-15.1,-23.6,-35.5,-22.0,-156.0,-67.2,-53.9,-70.6,-35.5,-22.0,-156.0
2016-01-02 16:00:00,-4.3,-26.8,-9.2,-16.9,-14.2,-27.5,-15.6,-18.1,-3.4,-7.5,-38.0,-29.0,-13.9,-21.5,-32.2,-20.2,-142.0,-61.2,-48.9,-64.4,-32.2,-20.2,-142.0
2016-01-02 17:00:00,-3.6,-23.2,-7.8,-14.2,-11.8,-23.1,-13.1,-15.2,-2.9,-6.3,-32.3,-24.4,-11.7,-17.9,-27.7,-17.0,-120.7,-51.4,-41.6,-54.1,-27.7,-17.0,-120.7
2016-01-02 18:00:00,-2.9,-18.3,-6.3,-11.5,-9.2,-19.0,-10.3,-11.5,-2.3,-4.9,-24.9,-19.2,-9.1,-13.9,-21.7,-13.5,-94.6,-40.8,-32.1,-42.1,-21.7,-13.5,-94.6
2016-01-02 19:00:00,-2.0,-12.4,-4.3,-8.0,-6.2,-13.3,-7.2,-7.7,-1.6,-3.4,-16.8,-12.8,-6.3,-9.5,-14.7,-9.4,-65.2,-28.3,-21.8,-28.6,-14.7,-9.4,-65.2
2016-01-02 20:00:00,-1.3,-8.0,-2.8,-5.4,-4.0,-9.0,-4.7,-5.0,-1.0,-2.2,-11.2,-8.3,-4.0,-6.0,-9.5,-6.1,-43.0,-18.6,-14.4,-18.3,-9.5,-6.1,-43.0
2016-01-02 21:00:00,-1.1,-6.7,-2.5,-4.7,-3.5,-7.8,-4.0,-4.4,-0.9,-1.9,-9.9,-7.1,-3.3,-5.1,-8.1,-5.2,-36.9,-16.2,-12.8,-15.5,-8.1,-5.2,-36.9
2016-01-02 22:00:00,-1.1,-6.6,-2.4,-4.6,-3.5,-7.7,-4.0,-4.4,-0.9,-1.9,-9.9,-7.0,-3.3,-5.1,-8.0,-5.2,-36.6,-16.1,-12.7,-15.3,-8.0,-5.2,-36.6
2016-01-02 23:00:00,-1.2,-7.3,-2.7,-5.0,-3.8,-8.2,-4.2,-4.8,-0.9,-2.1,-10.5,-7.6,-3.5,-5.5,-8.5,-5.5,-39.6,-17.2,-13.6,-16.6,-8.5,-5.5,-39.6
2016-01-03 00:00:00,-1.3,-8.5,-3.0,-5.6,-4.2,-8.8,-4.6,-5.4,-1.0,-2.5,-11.4,-8.6,-3.8,-6.2,-9.4,-5.9,-44.3,-18.8,-14.9,-18.6,-9.4,-5.9,-44.3
2016-01-03 01:00:00,-1.4,-9.1,-3.2,-5.9,-4.4,-9.2,-4.8,-5.7,-1.0,-2.7,-11.8,-9.1,-3.9,-6.5,-9.7,-6.1,-46.3,-19.6,-15.6,-19.5,-9.7,-6.1,-46.3
2016-01-03 02:00:00,-1.4,-9.1,-3.2,-5.9,-4.4,-9.1,-4.7,-5.7,-1.0,-2.7,-11.7,-9.0,-3.9,-6.5,-9.6,-6.1,-46.0,-19.5,-15.5,-19.5,-9.6,-6.1,-46.0
2016-01-03 03:00:00,-1.4,-8.9,-3.1,-5.8,-4.3,-9.0,-4.7,-5.6,-1.0,-2.7,-11.6,-9.0,-3.9,-6.4,-9.5,-6.0,-45.5,-19.3,-15.3,-19.2,-9.5,-6.0,-45.5
2016-01-03 04:00:00,-1.3,-8.8,-3.1,-5.7,-4.2,-8.9,-4.6,-5.5,-1.0,-2.6,-11.4,-8.8,-3.8,-6.3,-9.3,-5.9,-44.8,-19.0,-15.0,-19.0,-9.3,-5.9,-44.8
2016-01-03 05:00:00,-1.3,-8.8,-3.1,-5.7,-4.3,-8.8,-4.6,-5.5,-1.0,-2.6,-11.4,-8.8,-3.8,-6.3,-9.5,-6.0,-45.1,-19.0,-15.1,-19.0,-9.5,-6.0,-45.1
2016-01-03 06:00:00,-1.3,-8.7,-3.1,-5.6,-4.2,-8.7,-4.6,-5.4,-1.0,-2.6,-11.3,-8.7,-3.8,-6.3,-9.4,-5.9,-44.6,-18.8,-14.9,-18.8,-9.4,-5.9,-44.6
2016-01-03 07:00:00,-1.4,-9.3,-3.2,-6.0,-4.5,-9.3,-4.8,-5.8,-1.1,-2.7,-12.0,-9.3,-4.0,-6.6,-9.9,-6.3,-46.8,-19.9,-15.8,-19.9,-9.9,-6.3,-46.8
2016-01-03 08:00:00,-1.7,-11.4,-3.9,-7.4,-5.4,-11.6,-5.8,-6.9,-1.3,-3.2,-14.4,-11.4,-4.8,-7.9,-11.6,-7.7,-54.9,-24.3,-18.9,-24.1,-11.6,-7.7,-54.9
2016-01-03 09:00:00,-2.4,-16.0,-5.6,-10.6,-7.5,-16.6,-8.1,-9.6,-1.8,-4.5,-20.1,-16.2,-6.8,-10.8,-16.1,-10.8,-75.4,-34.3,-26.4,-33.8,-16.1,-10.8,-75.4
2016-01-03 10:00:00,-3.4,-21.6,-7.5,-14.4,-10.2,-22.1,-11.0,-12.7,-2.5,-6.2,-27.1,-22.6,-9.6,-14.2,-22.1,-14.2,-101.8,-45.8,-35.9,-46.4,-22.1,-14.2,-101.8
2016-01-03 11:00:00,-3.9,-25.3,-8.6,-16.5,-11.6,-25.5,-12.3,-14.9,-2.9,-7.2,-31.0,-26.4,-10.8,-16.7,-24.9,-16.6,-115.8,-52.7,-41.1,-53.9,-24.9,-16.6,-115.8
2016-01-03 12:00:00,-4.6,-28.8,-10.0,-18.5,-13.5,-29.8,-14.3,-17.4,-3.3,-8.2,-36.6,-29.7,-12.5,-18.6,-29.0,-19.0,-139.8,-61.4,-48.2,-60.8,-29.0,-19.0,-139.8
2016-01-03 13:00:00,-4.9,-30.0,-10.3,-20.0,-14.1,-31.1,-15.0,-18.1,-3.5,-8.4,-38.4,-31.5,-13.2,-20.0,-31.0,-19.7,-145.6,-64.3,-50.3,-64.7,-31.0,-19.7,-145.6
2016-01-03 14:00:00,-5.3,-33.0,-11.0,-21.6,-14.9,-33.8,-16.6,-19.6,-3.8,-9.1,-41.1,-34.1,-14.6,-21.9,-33.4,-21.7,-154.2,-70.0,-54.1,-70.5,-33.4,-21.7,-154.2
2016-01-03 15:00:00,-5.2,-32.8,-11.1,-21.7,-14.7,-33.4,-16.5,-19.5,-3.8,-9.2,-40.4,-34.3,-14.5,-21.9,-33.0,-21.9,-153.5,-69.4,-53.4,-70.8,-33.0,-21.9,-153.5
2016-01-03 16:00:00,-4.8,-29.9,-10.0,-19.5,-13.3,-30.4,-14.8,-17.9,-3.4,-8.6,-37.2,-31.5,-13.1,-20.0,-30.0,-19.9,-140.1,-63.1,-49.2,-64.6,-30.0,-19.9,-140.1
2016-01-03 17:00:00,-3.9,-25.4,-8.5,-16.3,-11.3,-26.0,-12.6,-14.9,-2.8,-7.2,-32.2,-26.5,-11.1,-16.7,-25.2,-16.5,-117.8,-53.5,-42.2,-54.2,-25.2,-16.5,-117.8
2016-01-03 18:00:00,-3.0,-19.8,-6.8,-12.7,-8.6,-20.5,-9.9,-11.5,-2.2,-5.8,-24.8,-21.5,-8.9,-13.3,-20.0,-13.2,-91.1,-41.9,-32.8,-43.6,-20.0,-13.2,-91.1
2016-01-03 19:00:00,-2.0,-13.5,-4.7,-8.8,-5.8,-14.0,-6.7,-7.9,-1.5,-4.0,-17.0,-15.1,-6.1,-9.2,-13.6,-9.0,-63.5,-28.5,-22.5,-30.4,-13.6,-9.0,-63.5
2016-01-03 20:00:00,-1.3,-8.7,-3.1,-5.7,-3.7,-9.1,-4.3,-5.1,-0.9,-2.7,-11.3,-9.7,-3.9,-5.9,-8.8,-5.8,-41.9,-18.6,-14.9,-19.5,-8.8,-5.8,-41.9
2016-01-03 21:00:00,-1.1,-7.4,-2.6,-4.9,-3.3,-7.8,-3.8,-4.4,-0.8,-2.2,-9.8,-8.2,-3.4,-5.0,-7.7,-5.0,-37.0,-16.0,-12.9,-16.6,-7.7,-5.0,-37.0
2016-01-03 22:00:00,-1.1,-7.3,-2.6,-4.8,-3.2,-7.7,-3.8,-4.4,-0.8,-2.2,-9.6,-8.1,-3.3,-4.9,-7.6,-5.0,-36.7,-15.9,-12.7,-16.3,-7.6,-5.0,-36.7
2016-01-03 23:00:00,-1.2,-8.0,-2.8,-5.2,-3.6,-8.2,-4.1,-4.8,-0.9,-2.4,-10.7,-8.7,-3.6,-5.6,-8.6,-5.3,-40.2,-17.1,-13.9,-17.8,-8.6,-5.3,-40.2
2016-01-04 00:00:00,-1.4,-9.2,-3.0,-5.8,-4.1,-8.9,-4.7,-5.3,-1.0,-2.6,-12.4,-9.6,-4.0,-6.7,-10.1,-5.9,-46.2,-18.9,-16.1,-20.3,-10.1,-5.9,-46.2
2016-01-04 01:00:00,-1.4,-9.1,-3.0,-5.7,-4.2,-8.9,-4.7,-5.2,-1.0,-2.6,-12.3,-9.0,-4.0,-6.7,-10.1,-5.9,-46.6,-18.9,-15.9,-19.7,-10.1,-5.9,-46.6
2016-01-04 02:00:00,-1.3,-8.9,-3.0,-5.6,-4.1,-8.9,-4.7,-5.2,-1.0,-2.5,-12.2,-8.8,-3.9,-6.6,-9.9,-5.8,-46.1,-18.8,-15.7,-19.4,-9.9,-5.8,-46.1
2016-01-04 03:00:00,-1.3,-8.9,-3.0,-5.6,-4.1,-8.9,-4.7,-5.2,-1.0,-2.5,-12.1,-8.8,-3.9,-6.6,-9.9,-5.8,-45.9,-18.7,-15.7,-19.3,-9.9,-5.8,-45.9
2016-01-04 04:00:00,-1.3,-8.9,-3.0,-5.6,-4.1,-8.8,-4.7,-5.1,-1.0,-2.5,-12.1,-8.9,-3.9,-6.6,-9.9,-5.8,-45.7,-18.6,-15.6,-19.3,-9.9,-5.8,-45.7
2016-01-04 05:00:00,-1.4,-9.1,-3.1,-5.7,-4.2,-8.9,-4.7,-5.2,-1.0,-2.6,-12.3,-9.0,-4.0,-6.7,-10.1,-5.8,-46.5,-18.8,-15.9,-19.7,-10.1,-5.8,-46.5
2016-01-04 06:00:00,-1.5,-9.8,-3.3,-6.1,-4.6,-9.5,-5.1,-5.6,-1.1,-2.7,-13.2,-9.7,-4.2,-7.2,-10.8,-6.2,-49.6,-20.2,-17.0,-21.1,-10.8,-6.2,-49.6
2016-01-04 07:00:00,-1.7,-11.8,-4.0,-7.1,-5.4,-11.2,-6.0,-6.6,-1.3,-3.2,-15.7,-11.4,-4.9,-8.5,-12.8,-7.3,-57.5,-23.7,-20.1,-24.8,-12.8,-7.3,-57.5
2016-01-04 08:00:00,-2.4,-17.8,-6.0,-10.0,-8.1,-16.5,-8.7,-9.7,-1.9,-4.7,-22.7,-16.6,-7.2,-12.2,-18.1,-10.9,-80.8,-34.9,-29.4,-36.0,-18.1,-10.9,-80.8
2016-01-04 09:00:00,-4.7,-35.7,-12.0,-19.7,-16.4,-33.2,-17.5,-19.1,-3.8,-9.3,-44.1,-33.7,-14.0,-23.5,-34.6,-21.7,-152.8,-69.8,-57.2,-71.2,-34.6,-21.7,-152.8
2016-01-04 10:00:00,-8.1,-58.3,-19.4,-33.5,-27.1,-55.7,-29.6,-32.8,-6.5,-15.5,-74.9,-55.7,-24.3,-38.4,-57.7,-37.2,-262.4,-118.1,-97.0,-118.4,-57.7,-37.2,-262.4
2016-01-04 11:00:00,-10.0,-69.9,-22.2,-40.7,-32.1,-66.8,-34.6,-39.6,-7.7,-19.1,-88.2,-66.3,-29.7,-45.9,-69.8,-45.0,-318.9,-141.0,-115.0,-141.9,-69.8,-45.0,-318.9
2016-01-04 12:00:00,-9.8,-67.6,-21.2,-40.5,-31.6,-63.7,-33.1,-38.5,-7.3,-18.1,-86.8,-66.5,-28.7,-44.8,-70.1,-43.2,-309.8,-135.3,-112.2,-140.1,-70.1,-43.2,-309.8
2016-01-04 13:00:00,-9.4,-63.2,-20.5,-37.5,-30.2,-60.3,-31.7,-36.7,-6.7,-17.0,-80.8,-62.8,-27.1,-42.4,-66.9,-40.5,-299.6,-128.7,-104.6,-132.3,-66.9,-40.5,-299.6
2016-01-04 14:00:00,-10.8,-72.5,-23.8,-43.4,-34.2,-71.3,-37.4,-43.0,-7.9,-20.3,-92.5,-71.4,-32.6,-49.7,-75.3,-47.6,-343.4,-151.8,-120.7,-153.8,-75.3,-47.6,-343.4
2016-01-04 15:00:00,-11.5,-79.5,-26.6,-48.2,-36.8,-79.4,-40.2,-48.0,-8.8,-23.0,-104.0,-78.7,-35.0,-56.9,-83.7,-53.1,-377.0,-167.6,-135.7,-170.5,-83.7,-53.1,-377.0
2016-01-04 16:00:00,-12.0,-82.4,-27.8,-49.6,-37.6,-81.8,-41.3,-49.5,-9.3,-24.3,-108.0,-82.1,-35.8,-57.7,-87.8,-54.8,-384.0,-172.5,-141.5,-175.5,-87.8,-54.8,-384.0
2016-01-04 17:00:00,-11.0,-75.2,-25.2,-44.8,-33.8,-75.7,-37.7,-44.7,-8.3,-22.4,-97.9,-75.9,-32.6,-52.2,-80.2,-49.3,-347.5,-158.1,-128.6,-160.7,-80.2,-49.3,-347.5
2016-01-04 18:00:00,-8.9,-60.6,-20.0,-35.7,-26.9,-60.2,-30.3,-35.8,-6.5,-17.8,-78.8,-61.6,-26.2,-42.4,-65.0,-39.3,-279.5,-126.4,-103.1,-130.2,-65.0,-39.3,-279.5
2016-01-04 19:00:00,-6.2,-43.4,-14.0,-25.2,-19.2,-41.1,-21.0,-25.2,-4.5,-12.3,-55.3,-43.2,-18.3,-30.2,-45.6,-27.8,-198.2,-87.3,-72.1,-91.7,-45.6,-27.8,-198.2
2016-01-04 20:00:00,-3.9,-27.3,-8.5,-15.8,-12.1,-25.0,-12.9,-15.6,-2.7,-7.6,-34.6,-26.8,-11.1,-19.0,-28.3,-17.5,-124.1,-53.5,-44.8,-56.8,-28.3,-17.5,-124.1
2016-01-04 21:00:00,-2.6,-18.6,-5.8,-10.8,-8.3,-17.1,-8.6,-10.4,-1.8,-5.0,-23.0,-17.4,-7.5,-12.5,-18.9,-12.0,-84.8,-36.2,-29.8,-37.4,-18.9,-12.0,-84.8
2016-01-04 22:00:00,-1.9,-13.0,-4.1,-7.6,-5.9,-12.1,-6.2,-7.2,-1.3,-3.5,-16.3,-12.2,-5.4,-8.8,-13.4,-8.4,-61.2,-25.5,-21.2,-26.4,-13.4,-8.4,-61.2
2016-01-04 23:00:00,-1.6,-10.6,-3.5,-6.4,-4.9,-10.1,-5.3,-6.1,-1.2,-2.9,-13.8,-10.3,-4.6,-7.5,-11.4,-6.8,-51.3,-21.5,-17.9,-22.5,-11.4,-6.8,-51.3
2016-01-05 00:00:00,-1.5,-9.7,-3.3,-6.0,-4.7,-9.9,-5.1,-6.0,-1.2,-2.8,-13.1,-9.6,-4.6,-6.9,-11.1,-6.3,-48.4,-21.0,-17.1,-21.1,-11.1,-6.3,-48.4
2016-01-05 01:00:00,-1.4,-8.8,-3.1,-5.5,-4.3,-9.1,-4.8,-5.6,-1.1,-2.5,-12.0,-8.8,-4.3,-6.2,-10.2,-5.9,-44.1,-19.5,-15.6,-19.3,-10.2,-5.9,-44.1
2016-01-05 02:00:00,-1.3,-8.8,-3.1,-5.4,-4.3,-9.0,-4.7,-5.6,-1.1,-2.5,-11.9,-8.7,-4.2,-6.1,-10.1,-5.9,-43.7,-19.3,-15.5,-19.1,-10.1,-5.9,-43.7
2016-01-05 03:00:00,-1.3,-8.8,-3.1,-5.4,-4.2,-9.0,-4.7,-5.6,-1.1,-2.5,-11.9,-8.7,-4.2,-6.1,-10.1,-5.8,-43.6,-19.2,-15.4,-19.0,-10.1,-5.8,-43.6
2016-01-05 04:00:00,-1.3,-8.8,-3.1,-5.4,-4.2,-8.9,-4.7,-5.6,-1.1,-2.5,-11.9,-8.7,-4.2,-6.1,-10.0,-5.8,-43.5,-19.2,-15.4,-18.9,-10.0,-5.8,-43.5
2016-01-05 05:00:00,-1.4,-9.0,-3.1,-5.5,-4.3,-9.1,-4.8,-5.7,-1.1,-2.5,-12.2,-8.8,-4.3,-6.2,-10.2,-5.9,-44.1,-19.5,-15.8,-19.2,-10.2,-5.9,-44.1
2016-01-05 06:00:00,-1.5,-9.7,-3.4,-5.9,-4.6,-9.6,-5.1,-6.1,-1.1,-2.7,-13.2,-9.3,-4.6,-6.6,-10.9,-6.4,-46.9,-20.9,-17.0,-20.6,-10.9,-6.4,-46.9
2016-01-05 07:00:00,-1.7,-11.6,-4.0,-7.0,-5.4,-11.3,-5.9,-7.2,-1.3,-3.2,-15.7,-11.0,-5.4,-7.9,-12.6,-7.5,-54.7,-24.4,-20.2,-24.2,-12.6,-7.5,-54.7
2016-01-05 08:00:00,-2.6,-16.5,-5.8,-10.0,-7.9,-16.0,-8.6,-10.4,-1.9,-4.7,-22.9,-16.3,-7.8,-11.8,-17.9,-10.8,-77.8,-35.1,-29.4,-35.9,-17.9,-10.8,-77.8
2016-01-05 09:00:00,-5.2,-33.0,-11.0,-19.3,-15.5,-31.4,-17.0,-20.0,-3.5,-9.4,-45.3,-33.0,-14.2,-23.3,-34.2,-20.9,-152.2,-68.3,-58.3,-70.5,-34.2,-20.9,-152.2
2016-01-05 10:00:00,-8.7,-55.0,-17.9,-33.2,-25.6,-56.7,-29.2,-33.7,-6.0,-16.5,-72.5,-54.8,-23.8,-40.3,-59.1,-35.5,-265.4,-119.5,-95.0,-118.9,-59.1,-35.5,-265.4
2016-01-05 11:00:00,-10.2,-65.2,-21.8,-39.3,-30.7,-69.2,-35.1,-41.3,-7.4,-19.5,-87.3,-64.2,-28.9,-48.6,-71.6,-42.0,-321.5,-145.5,-114.2,-141.7,-71.6,-42.0,-321.5
